,title,link,summary,rating_stars,rating_votting
12,World's Best Lasagna,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,"Filling and satisfying, John Chandler's lasagna is our most popular recipe. With basil, sausage, ground beef and three types of cheese, it lives up to its name.",5,18953
13,Easy Meatloaf,https://www.allrecipes.com/recipe/16354/easy-meatloaf/,"This easy meatloaf recipe is one of our best--made over 7,000 times and never disappoints! This no-fail meatloaf makes 8 servings.",4.5,8248
14,Quick Artichoke Pasta Salad,https://www.allrecipes.com/recipe/16506/quick-artichoke-pasta-salad/,This pasta salad is quick and easy to make. The liquid from the marinated artichoke hearts makes an excellent dressing.,4.5,86
15,Oven-Baked Chicken Fajitas,https://www.allrecipes.com/recipe/257951/oven-baked-chicken-fajitas/,Easy and delicious oven-baked chicken fajitas.,4.5,14
16,Steakhouse Pecan Pork Chops,https://www.allrecipes.com/recipe/280444/steakhouse-pecan-pork-chops/,Elevate pork chops to the next level with these pork chops which take little time and are company worthy. Just be careful when cooking because the pecans can burn rather fast.,4,13
17,Best Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/,"Crisp edges, chewy middles, and so, so easy to make. Try this wildly-popular chocolate chip cookie recipe for yourself.",4.5,17399
18,Feta and Bacon Stuffed Chicken with Onion Mashed Potatoes,https://www.allrecipes.com/recipe/174720/feta-and-bacon-stuffed-chicken-with-onion-mashed-potatoes/,Not for anyone watching their diet. A wonderful flavor filled meal that really fills you up. I took ideas from a few other recipes on here and I made it my own. Simply delicious!,4.5,262
19,Air Fryer Meatloaf,https://www.allrecipes.com/recipe/266164/air-fryer-meatloaf/,"If you have an air fryer, try this simple recipe for seasoned meatloaf, topped with mushrooms, that's ready in under 1 hour.",4,36
20,Easy Coleslaw Dressing,https://www.allrecipes.com/recipe/240784/easy-coleslaw-dressing/,Make creamy coleslaw in minutes with this 6-ingredient dressing.,5,1880
21,Basic Crepes,https://www.allrecipes.com/recipe/16383/basic-crepes/,See how easy it is to make crepes. You'll need just 6 common ingredients for these French-style pancakes.,4.5,3841
22,Slow Cooker Adobo Chicken,https://www.allrecipes.com/recipe/15650/slow-cooker-adobo-chicken/,An easy slow cooker recipe for a whole chicken. This is such a simple recipe for something SO good! Serve hot with steamed rice.,4,839
23,French Toast,https://www.allrecipes.com/recipe/7016/french-toast-i/,This simple French toast recipe makes for a quick and easy breakfast.,4.5,1909
24,Banana Banana Bread,https://www.allrecipes.com/recipe/20144/banana-banana-bread/,"This banana bread recipe is moist and delicious, with loads of banana flavor. It's wonderful toasted!",4.5,15537
25,Guacamole,https://www.allrecipes.com/recipe/14231/guacamole/,Cilantro and cayenne give this classic guacamole a tasty kick. Serve it smooth or chunky.,5,7430
26,Honey-Garlic Chicken Thighs,https://www.allrecipes.com/recipe/269068/honey-garlic-chicken-thighs/,"Sticky, easy honey-garlic chicken made simple, with the most amazing 5-ingredient honey-garlic sauce that is so good you'll want it on everything! Garnish with parsley and serve over vegetables, rice, pasta, or a salad.",4.5,15
27,Joy's Easy Banana Bread,https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/,"This easy banana bread recipe is quick to prepare, and everyone always comes back for seconds!",5,2049
28,Slow Cooker Texas Pulled Pork,https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/,"Texas-style pulled pork simmers in a tangy chili-seasoned barbecue sauce with plenty of onion, then pulled into tender shreds to serve on a buttered, toasted bun.",4.5,2913
29,Easy Sugar Cookies,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/,Quick and easy sugar cookies! Terrific plain or with candies in them. This recipe uses basic ingredients you probably already have.,4.5,7791
30,Delicious Egg Salad for Sandwiches,https://www.allrecipes.com/recipe/147103/delicious-egg-salad-for-sandwiches/,Simple ingredients and quick prep makes the perfect egg salad for sandwiches!,4.5,2023
31,Waffles I,https://www.allrecipes.com/recipe/22180/waffles-i/,Made-from-scratch waffles are ready in less than 30 minutes with this basic waffle recipe.,4.5,4915
32,Homemade Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,Sharp Cheddar and Parmesan cheese combine for this extra creamy mac 'n' cheese recipe. Just 20 minutes to prep and 30 to bake.,4,2493
33,Alfredo Sauce,https://www.allrecipes.com/recipe/22831/alfredo-sauce/,This creamy Alfredo sauce turns a busy weeknight dinner into something special. Serve it with fettuccine or pour it over chicken breasts or steamed vegetables.,4.5,4449
34,Quick and Almost-Professional Buttercream Icing,https://www.allrecipes.com/recipe/174347/quick-and-almost-professional-buttercream-icing/,This easy buttercream frosting is perfect for piping and decorating.,4.5,1923
35,Awesome Broccoli-Cheese Casserole,https://www.allrecipes.com/recipe/13606/awesome-broccoli-cheese-casserole/,"Even though I rarely cook with canned condensed soups, I still make this yummy broccoli casserole during the holiday season. It's fabulous with a Christmas ham and potatoes au gratin too.",4.5,530
36,Chicken Parmesan,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,You'll love Chef John's recipe for the best crispy-crusted chicken Parmesan.,5,4016
37,Easy Sausage Gravy and Biscuits,https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast.",5,1004
38,Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,This easy mac and cheese recipe is ready in under 30 minutes.,4.5,773
39,Juicy Roasted Chicken,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,A couple of simple ingredients with no-fuss prep make a roast chicken that many swear is the juiciest they've ever eaten.,4.5,3812
40,Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,"A classic waffle recipe includes basic ingredients you probably already have on hand, creating a perfectly crisp breakfast item.",4.5,3646
41,Shrimp Scampi with Pasta,https://www.allrecipes.com/recipe/229960/shrimp-scampi-with-pasta/,Try this shrimp scampi recipe served with pasta for the ultimate seafood pasta dish.,4.5,1175
42,Easy Pancakes,https://www.allrecipes.com/recipe/45396/easy-pancakes/,These quick and easy pancakes are perfect for sleepy mornings.,4,1651
43,Best Brownies,https://www.allrecipes.com/recipe/10549/best-brownies/,"Cakey on the outside and fudgy in the middle, this easy brownie recipe really is the best! Done in an hour.",4.5,13073
44,The Real Mojito,https://www.allrecipes.com/recipe/147363/the-real-mojito/,This authentic mojito cocktail is so refreshing on a hot summer day.,5,717
45,Broccoli Salad,https://www.allrecipes.com/recipe/14280/fresh-broccoli-salad/,A creamy dressing amps up this crunchy broccoli salad with bacon.,5,1489
46,Classic Peanut Butter Cookies,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/,This crowd-pleasing recipe features crunchy peanut butter and is quick and easy to prepare.,4.5,4001
47,Microwave Baked Potato,https://www.allrecipes.com/recipe/85337/microwave-baked-potato/,This microwave baked potato tastes like it was slow-roasted in the oven.,4.5,361
48,Microwave Chocolate Mug Cake,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,Make an individual-size dessert using this decadent recipe for microwave chocolate mug cake.,4.5,1526
49,Quick Tartar Sauce,https://www.allrecipes.com/recipe/183835/quick-tartar-sauce/,You'll need only 4 ingredients for this quick homemade tartar sauce.,4.5,233
50,Sicilian Roasted Chicken,https://www.allrecipes.com/recipe/255263/sicilian-roasted-chicken/,"I made up this one to resemble the rotisserie chicken I love so much. It is so expensive here, so here's my version.",4.5,209
51,Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,"Potatoes are blended with warmed butter and milk to create those perfect, smooth mashed potatoes everyone loves.",4.5,566
52,Simple Teriyaki Sauce,https://www.allrecipes.com/recipe/259887/simple-teriyaki-sauce/,This quick and easy homemade Japanese teriyaki sauce can also be used as a dip.,4.5,229
53,Best Lemonade Ever,https://www.allrecipes.com/recipe/32385/best-lemonade-ever/,Our refreshing lemonade recipe makes the best-tasting glass ever!,5,2867
54,Crispy and Creamy Doughnuts,https://www.allrecipes.com/recipe/45921/crispy-and-creamy-doughnuts/,"Treat your family to donuts like the ones from your favorite shop, with ingredients you probably already have in your pantry.",4.5,1323
55,Soft Oatmeal Cookies,https://www.allrecipes.com/recipe/19247/soft-oatmeal-cookies/,This recipe for soft oatmeal cookies creates a moist and flavorful dessert that will make everyone's day a little bit better.,4.5,5022
56,The Best Banana Pudding,https://www.allrecipes.com/recipe/22749/the-best-banana-pudding/,"No-cook banana pudding made with instant vanilla pudding mix, condensed milk and whipped topping.",4.5,963
57,Chicken Pot Pie IX,https://www.allrecipes.com/recipe/26317/chicken-pot-pie-ix/,"A delicious chicken pot pie made from scratch with carrots, peas, and celery for a comfort food classic.",5,12679
58,Best Steak Marinade in Existence,https://www.allrecipes.com/recipe/143809/best-steak-marinade-in-existence/,"What's the secret? Soy sauce, olive oil, lemon juice, Worcestershire sauce, garlic, and a few dried herbs. Now you know.",4.5,4299
59,Gourmet Mushroom Risotto,https://www.allrecipes.com/recipe/85389/gourmet-mushroom-risotto/,Authentic Italian-style mushroom risotto goes with any main course.,5,3291
60,Reuben Casserole,https://www.allrecipes.com/recipe/25407/reuben-casserole/,"Layers of sauerkraut, corned beef, Swiss cheese, rye bread crumbs, and Russian-style salad dressing make up this casserole version of the deli sandwich .",4.5,371
61,Roasted Pork Loin,https://www.allrecipes.com/recipe/21766/roasted-pork-loin/,"This easy roasted pork loin is seasoned with garlic, rosemary, and white wine.",4.5,1322
62,Corned Beef and Cabbage,https://www.allrecipes.com/recipe/16310/corned-beef-and-cabbage-i/,Corned beef and cabbage make a great centerpiece for St. Patrick's Day.,4.5,1313
63,To Die For Blueberry Muffins,https://www.allrecipes.com/recipe/6865/to-die-for-blueberry-muffins/,Extra big blueberry muffins are topped with a sugary-cinnamon crumb mixture in this souped-up blueberry muffin recipe.,4.5,14112
64,The Best Lemon Bars,https://www.allrecipes.com/recipe/10294/the-best-lemon-bars/,"These tart, rich lemon bars need just seven common ingredients you probably already have, and are done in 55 minutes!",4.5,3388
65,Banana Muffins II,https://www.allrecipes.com/recipe/42719/banana-muffins-ii/,These delicious banana muffins are easy for kids to make.,5,4606
66,Lemon Pudding Cake I,https://www.allrecipes.com/recipe/7665/lemon-pudding-cake-i/,This is a family favorite for over 50 years. It makes a sauce on the bottom,4,177
67,Spaghetti Sauce with Ground Beef,https://www.allrecipes.com/recipe/158140/spaghetti-sauce-with-ground-beef/,Spaghetti topped with this meaty spaghetti sauce will be a family favorite.,4.5,1282
68,Mexican Tinga,https://www.allrecipes.com/recipe/127628/mexican-tinga/,This is an authentic Mexican favorite! Shredded chicken and onions simmered in a thick chipotle sauce served on crunchy tostadas.,4.5,222
69,Slow-Cooker Corned Beef and Cabbage,https://www.allrecipes.com/recipe/84270/slow-cooker-corned-beef-and-cabbage/,"Slow cook your St. Patrick's Day corned beef dinner, and celebrate the easy way.",4.5,1934
70,Mamaw's Chicken and Rice Casserole,https://www.allrecipes.com/recipe/233983/mamaws-chicken-and-rice-casserole/,This chicken and rice casserole is quick and easy to put together and will remind you of your grandma's cooking.,4.5,889
71,Quick and Easy Brownies,https://www.allrecipes.com/recipe/9599/quick-and-easy-brownies/,This quick and easy recipe for chocolate brownies with walnuts takes about 45 minutes to make.,4.5,1890
72,Buttery Garlic Green Beans,https://www.allrecipes.com/recipe/230103/buttery-garlic-green-beans/,"Try this easy, sautéed green bean recipe with a garlicky butter sauce.",4.5,649
73,The REAL Long Island Iced Tea,https://www.allrecipes.com/recipe/228491/the-real-long-island-iced-tea/,Follow this easy recipe to make an authentic Long Island iced tea – the perfect summer cocktail.,5,95
74,Tater Tots Casserole,https://www.allrecipes.com/recipe/222037/tater-tots-r-casserole/,"Frozen Tater Tots, Cheddar cheese, ground beef, and cream of mushroom soup combine for a comfort food classic.",4.5,342
75,Banana Chocolate Chip Bread,https://www.allrecipes.com/recipe/230482/banana-chocolate-chip-bread/,"Very ripe bananas keep this quick bread sweet and moist, while chocolate chips bring sweetness.",5,1223
76,Simple Creme Brulee Dessert,https://www.allrecipes.com/recipe/228515/simple-creme-brulee-dessert/,"Rich, creamy creme brulee should still be jiggly in the center when you pull it out of the oven.",5,103
77,Balsamic Bruschetta,https://www.allrecipes.com/recipe/54165/balsamic-bruschetta/,"An easy recipe for homemade bruschetta, the classic Italian appetizer.",5,1115
78,Grandma Elaine's Unstuffed Sweet and Sour Cabbage,https://www.allrecipes.com/recipe/143362/grandma-elaines-unstuffed-sweet-and-sour-cabbage/,"This is a family heirloom recipe that has been handed down through the ages. My mother taught it to me, and I tweaked it to its current form. I have eaten all kinds of 'stuffed' cabbage and this recipe beats them all. It's sweet, sour, and comforting. The flavors are even better the second day. This dish also freezes well.",4.5,79
79,Creamy Au Gratin Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,Thinly sliced potatoes and onion are layered in a creamy cheese sauce creating the perfect au gratin potato recipe.,4.5,5727
80,Southern Fried Cabbage,https://www.allrecipes.com/recipe/73833/southern-fried-cabbage/,This dish was always a favorite at Mammaw's house. Cabbage is fried with onion and bacon in this simple quick side dish. Terrific with cornbread.,4.5,677
81,Quick and Easy Alfredo Sauce,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,This quick and easy Alfredo sauce features cream cheese as its secret ingredient.,4.5,5611
82,Simple White Cake,https://www.allrecipes.com/recipe/17481/simple-white-cake/,This simple white cake recipe uses just 7 ingredients.,4,3998
83,Quick and Easy Pizza Crust,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/,This pizza crust recipe is quick and easy to make with any toppings.,4.5,3638
84,Banana Pancakes,https://www.allrecipes.com/recipe/20334/banana-pancakes-i/,Quick and easy homemade banana pancakes made from scratch.,4.5,2524
85,Baked Kale Chips,https://www.allrecipes.com/recipe/176957/baked-kale-chips/,This easy recipe for baked kale chips is simply the best.,4.5,2578
86,Indian Chicken Curry (Murgh Kari),https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/,This is an easy recipe for Indian chicken curry with just the right amount if spice.,4.5,1053
87,Spinach and Chicken Casserole,https://www.allrecipes.com/recipe/240431/spinach-and-chicken-casserole/,"My son, who is an extremely picky eater, loves this quick and simple dish. It's great for pot-luck dinners.",3.5,40
